"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","Proplacená dotace (Kč)","Podíl celkové požadované dotace k celkovým nákladům","","",""
"Kulturní aktivity","2016","FHT/PHT/026666/2016","Jarmareční sobota v Nučicích","Jarmareční sobota v Nučicích je akce typu vesnické slavnosti, pořádaná s cílem setkání všech občanů obce, propojení jednotlivých cílových skupin (děti, mládež, dospělí, senioři, místní spolky) a zkvalitnění kulturního života v obci. Jedná se o akci venkovní, pořádanou na návsi a přilehlém okolí, s celodenním kulturním programem na přistaveném pódiu a stánkovým prodejem (pouze výrobky řemeslného charakteru a pochutiny). Na pódiu se prezentují vedle amatérských či profesionálních souborů děti z místní školy a školky, místní zájmové útvary, místní divadelní spolek a školy či spolky z blízkého okolí. Součástí jarmarku je i ranní bohoslužba v nučické kapli, výstava v prostorách obecního úřadu a otevření místního hornického muzea. Rovněž jsou i tvořivé dílničky a soutěže pro děti.","neschváleno RK","96822","75000","","77.4617339","","",""
"Sportovní aktivity","2016","FHT/PHT/027095/2016","Táhneme za jeden provaz","Připravujeme projekt, který si klade za cíl vzájemné poznání, pochopení a slučování dvou světů, a to většinové společnosti s handicapovanými. Způsob realizace je formou volnočasových aktivit na kterých se budou společně podílet handicapovaní s ostatními účastníky akce. Připravujeme den plný poznávání handicapu, kdy nás nejprve čeká společný cyklovýlet do slavné Hájenky v Kersku a po návratu zpět, do sídla organizace (Nové Jirny), bude na účastníky čekat doprovodný program. V rámci cyklovýletu si nehandicapovaní účastníci vyzkouší asistenci a poznají co obnáší být dobrovolníkem a poté v odpoledních hodinách v sídle si naopak vyzkouší být v roli handicapovaného (jízda na ručním kole, invalidním vozíčku, virtuální handbike závod, aj.). Dále pro děti připravíme soutěže o ceny, pro všechny občerstvení a k tomu nám bude hrát kapela., Společné aktivity a sdílené zážitky jsou funkčním systémem nejen při sociální rehabilitaci handicapovaných, ale i nástrojem pro většinovou společnost k poznání a pochopení handicapu.","neschváleno RK","70000","50000","","71.42857143","","",""
"Vzdělávání","2016","FHT/PHT/027304/2016","Vzdělávání 3. věku - příležitost pro společnost","Akce má dvě části- představení konference v  Senátu PČR, které se koná 2.2.2016. V druhé fázi proběhne konference v Mladé Boleslavi, kde se sejdou lidé z celé České republiky, kteří se systematicky zabývají vzděláváním seniorů, a to jak na akademické půdě vysokých škol a ve vzdělávacích institucích, tak i v prostředí knihoven, muzeí, škol, sociálních ústavů, agentur atd. Cílem je výměna a shrnutí zkušeností z oblasti vzdělávání seniorů a především zdůraznění jeho významu nejen pro seniory samotné, jejich rodiny, společnost, ale i pro možnost jejich uplatnění na pracovním trhu., Přednášející patří k uznávaným autoritám v oblasti vzdělávání seniorů v rámci celé České republiky. V programu je také zahrnuta prezentace zahraničních odborníků ze Slovenska, Polska a Švédska.","neschváleno RK","120000","50000","","41.66666667","","",""
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2016","FHT/PHT/027319/2016","Nákup nové sirény pro Město Kralupy nad Vltavou","Město Kralupy nad Vltavou v současné době vlastní 6 elektronických sirén. Pět z nich je však zastaralých a často poruchových. V příloze žádosti přikládáme Stav sirén ve městě zpracovaný servisní firmou. V případě získání dotace z Fondu hejtmana Středočeského kraje, město Kralupy nad Vltavou nakoupí novou sirénu, díky které se vymění stávající siréna na objektu HZS Středočeského kraje.","neschváleno RK","251327","200000","","79.57760209","","",""
"Vzdělávání","2016","FHT/PHT/030539/2016","Štědrovečerní zvyky","vzdělávací akce poslední adventní neděli o tom jaké zvyky dodržovali naši předkové, zpívání koled za doprovodu malého orchestru a čtením Davida Vejražky","neschváleno RK","20000","15000","","75","","",""
"Rekonstrukce v souvislosti se sociální, kulturní, sportovní a vzdělávací činností","2016","FHT/PHT/027532/2016","REKONSTRUKCE PODLAH v CHRÁNĚNÉM BYDLENÍ SLAPY","POPIS VÝCHOZÍHO STAVU, CÍLE, proč projekt realizovat:, , Chráněné bydlení Fara funguje v obci Slapy od roku 2001 - bylo vybudováno díky výtěžku známé benefiční sbírky Akce cihla rekostrukcí budovy staré církevní fary. Tuto sociální službu využívá 12 klientů s mentálním postižením. Po 15 letech denního provozu se jako provozovatel sociální služby potýkáme s nutností řady dílčích rekonstrukcí a oprav, na které jen těžko hledáme prostředky z veřejných dotačních zdrojů a titulů. Jednou z nejakutnějších potřeb v tomto směru je potřeba výměny podlahových krytin ve společenské místnosti a kuchyni spojené s jídelnou (celkem 80m2 plochy). Původní repasované parkety jsou v současnosti naprosto nevyhovující z funkčního hlediska (vykazují rozklížení, praskliny, vypadávají apod.), zdravotního hlediska (při častém vytírání se pod ně dostává a zůstává pod nimi vlhkost a plísně) i z hlediska bezpečnostního (řada klientů má snížené motorické schopnosti a o nerovnosti zakopává). To vše přivádí žadatele k rozhodnutí realizovat kompletní rekonstrukci podlahových krytin ve zmíněných místnostech a uvést je do funkčního, kvalitou dlouhodobě bezúdržbového a bezpečnostně nezávadného stavu výměnou za cihelnou dlažbu a zčásti též protiskluzovou dlažbu (v okolí kuchyňského koutu, kde klienti pravidelně pomáhají s vařením.)        , , , Cílem projektu je: , , 1/ Umožnit klientům svobodně, aktivně, bez rizika a omezení využívat prostory chráněného bydlení, které je jim domovem., 2/ Zlepšit hygienické a bezpečnostní podmínky v chráněném bydlení. , , , ŽADATEL(výsledky v oblasti činnosti), CÍLOVÁ SKUPINA:, , Portus Praha, z.ú. má za sebou 15 let praxe v oboru poskytování sociálních služeb. Je provozovatelem dvou budov chráněného bydlení v obci Slapy (obě vystavěl z příjmů z vlastní činnosti a evropských dotací) celkem pro 19 klientů s mentálním postižením a provozovatelem sociálně terapeutické dílny (vše v obci Slapy). Od roku 2014 provozuje též sociální podnik na výrobu nakládaných pochutin v obci Davle (www.dobrotyspribehem.cz), kde našlo pracovní uplatnění na HPP 5 lidí s handicapem (vystavěno z příjmů z benefiční činnosti a prodeje výrobků). Portus Praha, z.ú. (www.portus.cz) je garantem patřičných zkušeností v práci s cílovou skupinou. , , Mimo dalších aktivit je i zakladatelem a koordinátorem celostátního benefičního projektu na podporu lidí s mentálním postižením Akce cihla, fungujícího již 16 let v 15 městech ČR - www.akcecihla.cz. , , , NA CO BUDOU POUŽITY FINANČNÍ PROSTŘEDKY:, , Grantový příspěvek bychom rádi využili na: , , 1/ odstranění a sanaci původních parketových podlah, 2/ přípravu podkladu a pokládku nové cihelné a protiskluzové dlažby   , , Předmětem žádosti je 85 000 Kč. , , TERMÍN REALIZACE:: , , červenec - srpen 2016 (v době dovolených klientů)  , , , OČEKÁVANÁ ZMĚNA PO REALIZACI:, , Zdravotně, bezpečnostně a funkčně nezávadné podlahy bez jakýchkoli následných investic, které budou sloužit klientům chráněného bydlení v denním životě, při odpočinku i nácviku socializačních aktivit - vaření, úklid společných prostor apod., , PROPAGACE STŘEDOČESKÉHO FONDU HEJTMANA ŽADATELEM:, , Žadatel může svoji činnost zaštítit profesionálním PR. Jsme připraveni připravit konkrétní nabídku propagace. Ta se může uskutečnit jak v rámci projektu (logo na budově chráněného bydlení, www apod.), tak v rámci celostátního PR kampaně projektu Akce cihla (TV spot, radiové stanice, plakáty v ofic. výlepu a RailReklam, cíleně distribuované letáky, atd... a také v rámci následujícího ročníku festivalu CIHLAFEST, který každoročně probíhá v zahradě chráněného bydlení (2 x billboard, plakáty atd.) a je plně otevřen veřejnosti, stejně jako řada obdobných akcí, které v zahradě pořádáme.   , ","neschváleno RK","96745","85000","","87.85983772","","",""
"Podpora činnosti","2016","FHT/PHT/030527/2016","Propagace SDH, okresu a kraje v zahraničí","Účast na mezinárodním setkání koněspřežných stříkaček Pyro-car v Polském Bielowu. Jedná se o výrobu propagačních předmětů, jednotného oblečení pro celé družstvo v průběhu akce, výroba letáků.","neschváleno RK","44000","40000","","90.90909091","","",""
"Vzdělávání","2016","FHT/PHT/027692/2016","1. a 2. ročník soutěže Tuta Via Vita aneb bezpečná cesta životem pro občana EU","Tuta Via Vitae je 1. ročník celostátní školní soutěže, které se hned v úvodním ročníku účastní 18.547 žáků a studentů základních a středních škol celé ČR. Cílem soutěže je vzdělávání dětí a mládeže za pomoci Policie ČR, Hasičského záchranného sboru a institucí v požární ochraně, civilní obraně, ochraně obyvatel, bezpečnostní problematice, krizových situacích, první pomoci, právech a povinnostech občanů při živelné pohromě, průmyslové havárii apod., Soutěž, nad kterou převzali záštitu mj. hejtmani krajů Jihočeského Mgr. JIří Zimola, Moravskoslezského pan Miroslav Novák, Plzeňského RSDr. Václav Šlajs, Středočeského Ing. Miloš Petera, Ústeckého pan Oldřich Bubeníček, Vysočiny MUDr. Jiří Běhounek a Hasičská vzájemná pojišťovna, probíhá vícekolově. Školní, okresní a krajská kola jsou prováděna na území kraje ve školních zařízeních (základní a střední školy) prostřednictvím webového rozhraní www.tutaviavitae.cz, které díky zkušenostem z předchozích ročníků našich soutěží Finanční gramotnost a SAPERE - vědět, jak žít,  již standardizovalo. Vzhledem k očekávanému rostoucímu přílivu nových soutěžících je postupně navyšována kapacita soutěžních serverů. Účastníci v daném kole soutěží pod dozorem pedagogů formou znalostního testu. Otázky jsou generovány soutěžním SW z jednotlivých tematických okruhů soutěže. Ze školních kol jsou sestaveny tříčlenné týmy, které od úrovně okresního kola reprezentují svou školu. Celostátní finále probíhá v Praze prezenčním způsobem, za účasti zástupců záštitu poskytujících institucí. , Harmonogram soutěže pro rok 2016:, , 4.1.2016 – 10.2.2016                okresní kola 1. ročníku soutěže, 22.2.206 – 31.3.2016                krajská kola 1. ročníku soutěže, 27.4.2016                                  celostátní finále 1. ročníku soutěže v Praze, květen – červen 2016                vyhodnocení 1. ročníku soutěže, prezentace výsledků, červenec 2016 – srpen 2016     příprava 2. ročníku soutěže, 19.9.2016 – 22.12.2016            školní kola 2. ročníku soutěže, ","neschváleno RK","1200000","200000","","16.66666667","","",""
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2016","FHT/PHT/027697/2016","Přenosná hokejbalová střelnice","Pořízení přenosné hokejbalové střelnice určené k náborovým a propagačním aktivitám SK Kelti 2008 při organizaci turnajů a akcí cílících na děti. Mimo tyto akce bude střelnice sloužit pro výuku střelby hráčů SK. Ojedinělé přenosné vybavení, které může být umísťováno na akcích klubu ve školních zařízeních, náměstích či libovolných sportovištích se zpevněným povrchem k vyzkoušení hokejbalu se zaměřením na nejatraktivnější část sportu - střelbu na branku. Sloužit bude jako podpora aktivního vyzkoušení sportu dětmi i dospělými. Střelnice bude mimo výše uvedené akce ""skladována"" a umístěna v areálu multifunkčního hřiště v Berouně Hlinkách a bude sloužit ke specializaci výuky střelby hráčů SK i pro širokou veřejnost a bude dále rozvíjet sportovní vyžití dětí a mládeže. Střelnice bude obsahovat - hokejbalovou branku, sportovní povrch vhodný pro hokejbal o velikosti 50m2 (5 metrů šířka, 10 metrů délka), polyesterové sítě s kovovými stojkami (6ks se závažím) na sítě o rozměru 11 metrů délka, 3 metry výška (33m2). Střelnice bude vybavena plachtou s otvory určenými na přesnost střelby a radarem, měřícím rychlost střelby, které  dále zvýši možnost interaktivity i samotnou atraktivitu střelnice. Střelnice bude poprvé použita při školním turnaji Hokejbal proti drogám, který SK Kelti 2008 pořádájí ve dnech 18. - 22. dubna 2016 v Berouně. Živostnost střelnice je odhadována na 10 let (životnost umělého povrchu a sítí).","neschváleno RK","45000","22500","","50","","",""
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2016","FHT/PHT/027887/2016","Vybudování dobročinného obchodu pro financování sociálních služeb ","Nestátní nezisková organizace Jistoty Domova, z.ú. ve stávající době využívá v pronajatém prostoru bývalé lékárny ze dvou místností pouze jednu. Dispozičním řešením je jedna místnost o velikosti 110 m2 ideálně uzpůsobená pro zřízení obchodu. Druhou místnost o velikosti 60 m2 bude možno po úpravách využít jako kancelářský prostor. Úpravami dojde k účelnému využití obou místností. Vznikne bezbariérové zázemí obchodu, ke kterému přiléhá velká výloha.  Zároveň vznikne kancelář sociálních služeb pro jednání se zájemci a uživateli služeb se zázemím pro naše zaměstnance a také skladové zázemí. , Dotaci použijeme na drobné stavební úpravy obou místností (Jedna místnost - zbourání dřevěných předělů, úprava osvětlení, oprava omítek, výmalba, nátěry oken, pokládka podlahové krytiny. Druhá místnost - rozšíření průchodu dveří, instalace osvětlení, přívod el. Proudu k prodejnímu pultu, polepy výlohového prostoru). Dotace bude dále použita na zakoupení nezbytného vybavení do dobročinného obchodu (stojanové a policové systémy, apod.). Prodejní pult máme již ve stávající době zajištěn formou daru., Princip dobročinného obchodu: Jeden daruje, druhý koupí, všichni pomáhají. Veřejnost daruje věci s myšlenkou „Mám doma oblečení nevhodné velikosti, přečtenou knihu, nevím co s nevhodným dárkem, ale vyhodit je mi ji líto.“ Daruje věci dobročinnému obchodu. Věci, které jsou hezké, nezničené v dobročinném obchodě oceníme a prodáme.  , Cílem dobročinného obchodu je ziskem z obchodu rozšířit zdroje k financování sociálních služeb pro seniory a osoby se zdravotním postižením, kteří jsou závislí v péči o sebe nebo domácnost na pomoci druhé osoby. Sociální služby Jistoty Domova,z.ú. si díky rozšíření vícezdrojového financování udrží svou kapacitu a kvalitu služeb nebo budou moci kapacitu služeb navýšit nezávisle na státních zdrojích. Dobročinný obchod přispěje k prohlubování povědomí veřejnosti, že znevýhodnění občané jsou a budou součástí naší společnosti, a že každý z nás může pomoci, aniž by musel obětovat velké finanční sumy., Díky malé pomoci každého z nás bude dofinancována péče, která zajistí znevýhodněným občanům vést důstojný život v jejich přirozeném prostředí. , Dalším nezanedbatelným významem bude vznik tří pracovních pozic.  Pozice vedoucí prodejny a 2 pozic prodavaček. Pracovní pozice obsadíme osobami ohroženými na trhu práce (dlouhodobě nezaměstnaní, 50+ nebo ZP na zkrácený úvazek)., Ve stávající době jednáme s Dobrovolnickým centrem při městě Mladá Boleslav o možnostech praktického zapojení dobrovolníků do našeho projektu (třídění darů, pomocné práce, svoz darů)., Náš projekt je inspirován Domovem Sue Ryder, který má mnohaletou zkušenost podpory svých služeb pro seniory právě ziskem z dobročinných obchodů. Za účelem minimalizovat možné negativní okolnosti jsme náš záměr s vedoucím obchodů Domova Sue Ryder osobně konzultovali., Předpokládáme, že provozováním dobročinného obchodu dojde k navýšení ročního rozpočtu sociálních služeb Jistoty Domova,z.ú. o čistý roční zisk v minimální výši 350 000,- Kč. Veškerý zisk bude v plné výši využit na dofinancování našich terénních a ambulantních sociálních služeb. , Dobročinný obchod pro důstojné stáří. Jedni dávají, druzí nakupují – Jistoty Domova pomáhají., , PROSTOR OBCHODU JE V CENTRU MLADÉ BOLESLAVI MEZI VÝSTAVIŠTĚM A KRUHOVOU KŘIŽOVATKOU PŘÍMO NA HLAVNÍ SILNICI, KUDY DENNĚ PROJDE A PROJEDE TISÍCE OBYVATEL MĚSTA. INFORMACE O FINANCOVÁNÍ REKONSTRUKCE A FUNGOVÁNÍ OBCHODU SE TEDY DOZVÍ TISÍCE OBYVATEL I NÁVŠTĚVNÍKŮ MĚSTA. ŽÁDÁME HEJTMANA STŘEDOČESKÉHO KRAJE O FINANČNÍ PROSTŘEDKY NA REKONSTRUKCI PROSTOR OBCHODU, KTERÝ NÁM ZAJISTÍ SPOLUFINANCOVÁNÍ TERÉNNÍCH SOCIÁLNÍCH SLUŽEB.  VELMI BYCHOM SI VÁŽILI VAŠÍ PODPORY NAŠEHO INOVATIVNÍHO ZÁMĚRU. PODĚKOVÁNÍ ZA PODPORU BUDE UMÍSTĚNO VE VÝLOZE I V PROSTORU OBCHODU A NA PROPAGAČNÍCH MATERIÁLECH V PODOBĚ SKLÁDACÍCH LETÁKŮ. ","neschváleno RK","178000","150000","","84.26966292","","",""
