"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","Proplacená dotace (Kč)","Podíl celkové požadované dotace k celkovým nákladům"
"Činnosti nebo aktivity v oblasti kultury","2017","FHT/PHT/030721/2017","1. ročník Sportovního plesu K. fitness Komárov","Tato kulturní akce se konala začátkem Března 2017 za účelem rozšíření kulturních akcí v městě Hořovice a zároveň o přiblížení sportu (fitness)mezi širokou veřejnost. Pro návštěvníky plesu jsme připravili ukázky z kulturistiky, bojových sportů, tance, atd., kterými jsme zároveň podpořili a zviditelnili okolní sportovní kluby a oddíly. Součástí plesu byla i živá kapela, moderátor, bohatá tombola, pohoštění a soutěže.","neschváleno RK","50000","30000","","60"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2017","FHT/PHT/030724/2017","Putování s českým lvem za národními patrony a světci",", Středočeský kraj patří mezi nejdéle osídlené území naší země. Nacházejí se zde pravěká sídliště a středověké památky, s nimiž jsou spojovány nejstarší dějiny českého státu. Vedle hmotné kultury mají střední Čechy unikátní postavení v duchovním vývoji našeho státu. Knížata z rodu Přemyslovců zahájili christianizaci, zakládali kostely a kláštery, které se staly centry vzdělanosti a kultury., Mezi osobnosti spjaté s duchovním a státotvorným procesem patří bezesporu i čeští patroni a světci, z nich nejvýznamnější, svatý Václav, je dnes vnímán jako patron našeho státu a 28. září je Dnem české státnosti., Poznávání vlastní minulosti patří mezi základní předpoklady výchovy mladé generace. Rádi bychom proto vydali publikaci, která dětem ve věku 6 – 15 let přiblíží jednoduchou a především zábavnou formou nejvýznamnějšími světce a lokality spojené s jejich životem. Mezi ně patří například Budečská rotunda, Levý Hradec, Stará Boleslav, Tetín,Sázavský klášter apod., , S ohledem na rozsah a cílovou skupinu budou v knize představeni:, , -	Svatá Ludmila  , -	Svatý Václav , -	Svatá Anežka Česká, -	Svatý Prokop , -	Svatý Vojtěch, , Uvedený výběr představuje základní osnovu, v jejímž rámci budou zmíněni i další světci a související historické postavy. Základní linii bude tvořit příběh chlapce a děvčete doprovázených lvem. Ten je provede českými dějinami a dětem srozumitelnou formou představí životní osudy světců, morální hodnoty, které představují a historický kontext doby, v níž působili. Popularizačním způsobem bude též zahrnut „druhý život“ světců a jejich kulturně historický přínos pro Českou i evropskou civilizaci. Někteří z našich zemských patronů totiž významně propojují český stát s okolními i vzdálenými zeměmi, v nichž jsou rovněž uctíváni. V souvislosti s danou tematikou budou dětem vysvětleny termíny, s nimiž se sice v běžném životě setkávají, přesto však často nerozumí jejich významu (církev, křesťanství, papež, biskup, svatořečení, relikviář, atribut, mučedník, anděl, kult atd.)., , PŘÍNOS PROJEKTU, , Znalost vlastní historie patří nepochybně k základním předpokladům sebevědomé občanské společnosti. Zvlášť v současném nepřehledném a komplikovaném světě je pro mladou generaci velice obtížné nalézat smysl existence vlastní země, potažmo i smysl vlastního bytí. Zpochybňování hodnot a vzorů jim komplikuje orientaci a často se tak stávají obětmi ideologií a nacionálních agitací., Prostřednictvím publikace Můj stát chceme malého čtenáře přivést k zamyšlení se nad odpovědností každého z nás za své činy, za své okolí a za svůj stát. , Publikace bude sloužit též jako pomůcka pro rodiče a učitele, neboť zde naleznou vysvětlení základních pojmů, se kterými se setkávají při návštěvě historických památek (klášter, biskup, relikviář, monstrance, oltář, tribut ad.), , STRUKTURA PUBLIKACE, , Vstupní komiks - příběh, Představuje úvod do celého tématu. Je mostem mezi současností a minulostí. Ve fiktivním příběhu se dvě dětské postavy (Tomáš a Eliška) setkávají s českým lvem, který jim stává průvodcem a během putování jim představuje jednotlivé historické postavy. Děti navštíví místa spjatá s hlavními hrdiny, a seznámí se tak s významnými architektonickými památkami naší země (Budeč, Velehrad, Sázavský klášter, Anežský klášter atd.), , 5 kapitol / světců, Životní příběh světce, Vyobrazení a popis atributů světce , Zajímavosti z každodenního života , Stručné, heslovité informace ze širších souvislostí , , AUTOŘI, Výtvarné řešení: 		Mgr. Milan Starý , Texty:				ak. mal. Martin Velíšek, PhD., Odborná spolupráce: 	PhDr. Viktor Kubík, Ph.D.			, Editor: 			PhDr. Lucie Wittlichová, Vydavatel: 			Dny české státnosti, o.p.s., , TECHNICKÉ ÚDAJE, formát 22 x 22 cm, , vnitřek 108 stran, CMYK 4/4, křídový papír matný 170 g , obálka s vlepenými chlopněmi, CMYK 4/0, křídový papír matný 400 g s laminem 1/0, předsádka offsetový papir 120 g, CMYK 4/0, Vazba V4, Naklad 3000ks, , HARMONOGRAM, leden – únor 2017:	 	příprava scénáře, březen – červen 2017:	texty, ilustrace, červenec 2017: 		grafické zpracování, srpen 2017: 			předtisková příprava, září 2017:			tisk, ","neschváleno RK","401600","50000","","12.4501992"
"Činnosti nebo aktivity v oblasti kultury","2017","FHT/PHT/030751/2017","Středočeské závody a okruhy","V nakladatelství Grada chystáme k vydání v roce 2017 knižní titul Středočeské závody a okruhy – Století středočeského silničního závodění (autoři Jiří Wohlmuth a Jaroslav Kotrbáček). Žádáme na její vydání dotaci ve výši 30.000,-Kč ze Středočeského Fondu hejtamana a zmírnění živelných katastrof. Dotace bude využita na pokrytí zvýšených tiskových nákladů., , Hlavním autorem knihy je novinář Jiří Wohlmuth, který o historii motocyklových závodů a motocyklech publikuje články již od roku 1974. Od roku 1998 vydává knihy v nakladatelství Grada. Mezi jeho nejúspěšnější tituly patří knihy o motocyklech týnecké Jawy., , V nové knize svou pozornost upírá k specifickému oboru motorismu, který se na území středních Čech zrodil už před více než 110 lety. Na stránkách knihy tak ožívají okruhy i závody v předválečném i poválečném období a s nimi spojené nejen motoristické události, ale i podoby okruhů a místa závodění v celé škále dálkových závodů, závodů do vrchu i závodů na městských okruzích. Znovu se připomínají jména řady závodníků, těch nejznámějších i těch méně známých., , Titul tak zaznamenává a zároveň prezentuje motocyklovou historii středních Čech současným zájemcům o toto téma., , Vydání knihy je naplánováno na červen 2017. Kniha bude distribuována v běžné knihkupecké síti po celé České a Slovenské republice.","neschváleno RK","207460","30000","","14.46061891"
"Rekonstrukce majetku v souvislosti se sociální, kulturní, sportovní a vzdělávací činností","2017","FHT/PHT/030752/2017","rekonstrukce nemovitosti v majetku Orel jednota Kolín","Rekonstrukce nemovitosti v majetku Orel jednota Kolín dle přiloženého rozpočtu a popisu přiložené k této žádosti.","neschváleno RK","250000","125000","","50"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2017","FHT/PHT/030761/2017","Rekonstrukce Sokolovny v Pískové Lhotě","Prvorepubliková budova Sokolovny již nevyhovuje hlavně po stránce technické a energetické náročnosti - tepelnými ztrátami. V zimním období budovu nelze využívat k žádné sportovní nebo kulturní činnosti. Největším problémem je únik tepla skrze stará dřevěná netěsnící okna. Velká kamna na pevná paliva jsou již nevyhovující po stránce technické, ekonomické (nutná oprava) a ekologické (nedostatečné spalování a nevyhovující komín). Počítá se s výměnou oken za nová plastová. Topení je možné vyřešit výměnou obou kamen za tepelné čerpadlo vzduch/vzduch a plynovým teplovzdušným vytápěním (přípojka plynu je již zřízena). Ze zbylých finančních prostředků budou uskutečněny menší opravy omítek. ","neschváleno RK","235000","185000","","78.72340426"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2017","FHT/PHT/030769/2017","Naplnění podmínek k projektu  ""Ne dětem ulice"" ","Náš záměr v projektu  Ne dětem ulice, je poskytnout ekonomicky, sociálně a zdravotně  znevýhodněným dětem  co nejdříve se prostřednictvím zájmových volnočasových aktivit zapojit mezi děti a veřejné dění. Tomu je zasvěcený celý náš výchovný program formou her. Kapacita DC je 26 dětí, průměrná docházka dětí je 26 ze zapsaných 32 dětí, kdy jsme museli udělat stop stav.  Současně je evidence dětí, které čekají na umístění 9. Tento problém můžeme řešit pouze přístavbou 1 klubovny včetně sociálního zařízení a to v půdním prostoru., Z původně dvou stanovených etap se nám výstavba rozšířila o  zajištění vstupu, do 2 patra a stavebně zajistit statiku hořejší části budovy.  Viz plány., Je pro nás důležitý úkol poskytnout tuto péče všem potřebným dětem. DC je provozem i osobními náklady  závislé pouze na sponzorských darech. Nadace Agrofert nám zajišťuje existenci již několik let a to proto, že paní ředitelka nadace nás navštívila a   osobně se  přesvědčila  o našem programu a podporuje nás.   Dotace města je ve výši 40 000 Kč, také  město nás podporuje technickými službami a jinak jsme závislí na drobnějších sponzorech., Potřebujeme  v takových případech  jako jsou investice  nutně pomoc někoho, kdo těmto problémům rozumí a může pomoci. Pokud dostaneme dotaci 100 000 Kč, poskytne nám nový sponzor 50 000  Kč  pouze na tento účel. Prosíme proto, pomozte nám touto částkou., Budeme potřebovat ke splnění celého projektu  na definitivní otevření klubovny etapa číslo 3 rovněž 150 000 Kč/ předběžný rozpočet/ Je toto úkol velmi zatěžující a působící velkou starost neboť výstavba se nesmí dotknout nijak  programu s dětmi / 12 hodin týdně + akce sobotní 1x až 2 x týdně. / Jestli nám pomůžete  ještě jednou   roce 2018  mohli  bychom  v září roku 2018 otevřít novou klubovnu pro 15 dětí., Velmi Vás paní hejtmanko Jermanová  prosíme o pomoc.,  Nová Milena organizační a projektový pracovník DC., ","neschváleno RK","150000","100000","","66.66666667"
"Rekonstrukce majetku v souvislosti se sociální, kulturní, sportovní a vzdělávací činností","2017","FHT/PHT/030775/2017","Obnova 3 velkých oken na sále sokolovny v Lázních Toušeni","Sokolovna v Lázních Toušeň poskytuje zázemí pro řadu akcí určených dětem i dospělým. Pořádají se zde divadelní představení, sportovní a taneční akce, karnevaly, dětské dny, vánoční akce, hudební festival, akce místního mysliveckého i baráčnického spolku a každé dva roky Národní přehlídka sokolských ochotnických divadel. , Průběžně se místní tělocvičná jednota snaží opravovat alespoň to nejnutnější. Velká okna na severní straně sálu byly v minulosti zazděny jako rychlé řešení jejich nutné výměny. Nová velká plastová okna, změní atmosféru na sále, pustí do sokolovny více světla, umožní větrání a v zimě zmenší tepelné ztráty. Toušeňskou sokolovnu zbudovanou v roce 1920 ještě čekají i další rekonstrukce (oprava střechy či nové vytápění), ale i menší opravy motivují k další spolkové práci. ","neschváleno RK","184916","120000","","64.8943304"
"Financování dalších činností a aktivit, nad nimiž převzal záštitu některý z orgánů SK","2017","FHT/PHT/030793/2017","Regionální vysílání","Výroba a vysílaní zpravodajství  TV Fonka v okr.Příbram,Vysílání příspěvků ze Středočeského kraje dodaných Středočeským krajem, nebo vyrobených na zakázku pro Středočeský kraj.","neschváleno RK","300000","200000","","66.66666667"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2017","FHT/PHT/030795/2017","Hokejový materiál sportovního klubu HC Kladno, spolek","Nadační příspěvek Fondu hejtmana Středočeského kraje, pokud nám bude přidělen, použijeme na úhradu materiálového vybavení (brankářských hokejek) hokejových týmů mládeže: juniory, starší dorost, mladší dorost a 8. tř., Tyto týmy hrají pod registrací Českého svazu ledního hokeje z.s. (ČSLH)  nejvyšší soutěže:, DHL Extraliga juniorů, NOEN extraliga st.dorostu – sk. Západ, ELIOD extraliga ml. dorostu, Liga st. žáků „A“ – SŽA, , Příspěvek by nám umožnil zakoupit cca 78 kusů brankářských hokejek pro 12 brankářů., Cena jedné brankářské hole je cca 2 900 Kč, a spolek není schopen finančně pokrývat veškeré náklady. Lední hokej je drahý sport a také ne všechny děti, které sportují v našich družstvech, jsou z rodin, které mají finanční zázemí, které odpovídá nákladům na tento sport. , Hokejový klub Kladno, spolek se zabývá sportovním (hokejovým) vzděláváním dětí a mládeže a naším cílem je vytvářet odpovídající zázemí. Jsme čekatelé o udělení statutu Akademie ČSLH (splňujeme parametry na jeho přidělení, ale svaz v tuto chvíli nerozšiřuje počet členů). Prostřednictvím koordinátora spolupracujeme se školami a vzdělávacími institucemi a sledujeme u dětí školní prospěch, docházku a osobní disciplínu.","neschváleno RK","226200","200000","","88.4173298"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2017","FHT/PHT/030800/2017","ROAD SHOW 2017 – MY A NAŠE BEZPEČNOST","Odborná debata a diskuse s veřejností na téma zajištění obrany a bezpečnosti, schopnost kraje čelit krizovým situacím a možnosti efektivní ochrany obyvatelstva. Posílení regionální a celorepublikové efektivní spolupráce všech zainteresovaných subjektů v oblasti obrany a bezpečnosti a tím zajištění větší bezpečnosti obyvatel., Získání trvalé podpory obyvatelstva pro zvýšení schopnosti země čelit krizovým situacím., Zlepšením stávající situace informovanosti veřejnosti o nutnosti řešení problematiky obrany a bezpečnosti na regionální úrovni s celorepublikovým přesahem získat větší podporu obyvatel při realizaci potřebných kroků posilujících obranu a bezpečnost země.","neschváleno RK","480000","200000","","41.66666667"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2017","FHT/PHT/030823/2017","Podpora sportovního víkendu ve Středočeském kraji","Od roku 2015 se intenzivně věnuji cvičení „Pilates“ v městě Kladno a podařilo se mi vytvořit podmínky pro téměř 160 klientek. Tato metoda není jen cvičení, ale zároveň pomáhá i k fyzické a duševní kondici. Technika „Pilates“ je vhodná pro těhotné, zdravé jedince i pro osoby se zdravotním postižením a urychluje rekonvalescenci pooperačních a poúrazových stavů. Věková hranice cvičenců není omezena (klientelu tvoří převážně ženy 15-65 let). Několikrát ročně pořádám sportovně relaxační víkendy po celé ČR. V současné době je pro spoustu klientů, k nimž patří studenti, matky s malými dětmi i senioři, pro které je finančně náročné tyto pobyty hradit v plné výši. Ráda bych jim za Vaší pomoci umožnila víkend plný relaxace a zdraví.                              , V květnu 2017 bychom rádi prožili sportovní víkend ve Středočeském kraji. Bylo nám umožněno využít relaxační centrum ve víceúčelovém areálu Vigvam v Němčicích u Kolína, kde budeme 2x denně cvičit a plánujeme prohlídku Kolína a Kutné Hory.                                                                            Žádám Vás tímto o finanční příspěvek, který by částečně pokryl náklady na pobyt, dopravu a nákup nezbytných cvičební pomůcek, např. therabandy, overbally, které pomáhají ke kvalitnímu provádění jednotlivých cviků a budou sloužit cvičencům i do budoucna. Ráda bych zakoupila takové pomůcky k rekonvalescenci, které si nemohou dovolit zakoupit hlavně matky samoživitelky. , , ","neschváleno RK","69000","50000","","72.46376812"
"Činnosti nebo aktivity v oblasti kultury","2017","FHT/PHT/030831/2017","Natura festival","Využijeme zkušeností z minulých let, letošní ročník bude již pátým. V areálu GASK se v přízemí rozestaví až 20 míst s jednotlivými vystavovateli. Využijeme také prostory v nádvoří. Akce bude propagována se spolupráci s GASK i regionálními novinami či ostatními médii (rádio, internetové noviny, tiskoviny a časopisy). Využijeme k propagaci dostupná veřejná místa k výlepu. Masivní a hlavní podpora bude přes sociální média (facebook, instagram) a internet (Pro-BIO, Eko vin, Vinařský fond, tématické portály – zdravá výživa, víno, regionální potraviny apod.). S propagací také pomůže vinařství Vinné sklepy Kutná Hora, se kterými máme vřelé vztahy a intenzivně spolupracujeme. Kampaň cílíme na region (Kutná Hora, Čáslav, Kolín, Poděbrady, Nymburk, Praha). V neposlední řadě akci budou propagovat samotní vystavovatelé (sdružení Autentisté ,ekologické farmy atd.). Peníze použijeme na propagaci, pro brigádníky, kteří nám s realizací pomůžou (rozestavět stoly, židle, postavit stan, připravit prezentaci vystavujících, uklidit po akci, zajistit vstup), dále na kulturní program (hudba, přednášející), na pronájem prostor a jiného příslušenství (stan, stoly, židle, pivní sety, oplachovače sklenic, slunečníky...), na nákup skleniček pro návštěvníky (každý návštěvník dostane skleničku u vstupu). ","neschváleno RK","233000","100000","","42.91845494"
