"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","Proplacená dotace (Kč)","Podíl celkové požadované dotace k celkovým nákladům"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033362/2018","Sportovní ples SK Kačice","Sportovní ples SK Kačice je tradiční akcí každý rok. Akce je realizována fotbalisty v objektu místní sokolovny. O vystoupení s ukázkou společenských tanců, gymnastiky a bojových umění se postarají děti z obce a blízkého okolí. Celým večerem bude provázet hudební kapela a nebude chybět slosování o zajímavé ceny.","schváleno RK","49500","27500","20000","55.55555556"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033369/2018","dětský den pohádkový  les- plný her pro hasiče a děti z obce Lubná","okruh disciplín, které děti plní  v okolí hřiště,  vodní nádrže a v lese,  na každém stanovišti  jsou disciplíny a rozhodčí  jsou v oblecích pohádkových  bytostí,  vodník,  peklo - čerti,  loupežníci,  bob a bobek, jezinky,  mrazík, hermelína , hery, potr, hermiona,  ježibaba, kouzelný hrad , pidruše,   aj,   pronájem  obleků,  ceny,  pitný režim, hudba,  toner, papír, PHM -doprava  jízda na koni  a zvířecí ráj....","schváleno RK","21500","20000","20000","93.02325581"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033379/2018","Staročeský bál","Udržování staročeských zvyků, pořádání staročeského bálu s účastí stovky krojovaných, tančících Českou besedu","schváleno RK","100000","60000","60000","60"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033380/2018","Podpora školního sportovního turnaje Hokejbal proti drogám 2018, okres Beroun","Školní sportovní turnaj Hokejbal proti drogám pořádá SK Kelti 2008 z.s. v Berouně již řadu let. Jedná se o turnaj určený školám v Berouně a blízkém okolí a jeho cílem je přitáhnout děti ke sportovní činnosti namísto jiných aktivit. , , Hokejbal proti drogám bude v roce 2018 pořádán v pěti kategoriích, oproti předchozím letem dochází k navýšení počtu hracích dní z důvodu obrovského zájmu škol. V roce 2017 se projektu zúčastnilo přes 50 přihlášených školních celků a téměř 500 dětí. V roce 2018 proto SK rozšiřuje počet dní, kdy se bude školnímu turnaji věnovat., , Turnaj sehrají děti v těchto kategoriích:, Kategorie I. = 1. – 3. třídy ZŠ, hrací dny 23. – 24. dubna 2018., , Kategorie II. = 4. – 5. třídy ZŠ, hrací dny 25. – 26. dubna 2018., , Kategorie Dívky = 1. – 5. třídy ZŠ, hrací den 27. dubna 2018., , Kategorie IIII. = 6. – 7. třídy ZŠ, hrací dny 16. – 17. dubna 2018., , Kategorie IV. = 8. – 9. třídy ZŠ, hrací den 19. dubna 2018., , Způsobilé výdaje vázající se přímo k organizaci projektu jsou následující:, Pronájem sportoviště: 9.600,- Kč (6 hodin denně á 200,- Kč, celkem 8 hracích dnů)., Rozhodčí, časomíra: 21.000,- Kč (Kategorie I., II., Dívky = 6 osob / hrací den, odměna 500,- Kč / osoba, celkem 5 hracích dnů + Kategorie III., IV. = 4 osoby / hrací den, odměna 500,- Kč / osoba, celkem 3 hrací dny)., Organizátoři, zdravotník: 10.500,- Kč (Kategorie I., II., Dívky = 3 osoby / hrací den, odměna 500,- Kč / osoba, celkem 5 hracích dnů + Kategorie III., IV. = 2 osoby / hrací den, odměna 500,- Kč / osoba, celkem 3 hracích dny)., Ceny pro děti: 12.000,- Kč (rozpočet 1.500,- Kč/ den, celkem 8 hracích dnů)., Celkem: 53.100,- Kč., , Podpora školního sportovního turnaje z Fondu hejtmana by významně přispěla ke zkvalitnění organizace všech dílčích turnajů Hokejbalu proti drogám v okrese Beroun a pomohla by dále upozornit děti na možnost sportovního vyžití namísto ""jiných"" aktivit. ","schváleno RK","53100","25000","20000","47.08097928"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033384/2018","15. Kněževská dechparáda - přehlídka dechových hudeb","15. Kněževeská dechparáda , , , Hlavní pořadatel odpovědný za projekt: Václav Hlaváček, , Kněževeská dechparáda – jubilejní 15. ročník přehlídky malých dechových hudeb ve Středočeském kraji, oživuje tradici festivalů lidové hudby ve Středočeském kraji. Festival významným způsobem reprezentuje svou společenskou, organizační a zejména , uměleckou úrovní hudební žánr, který patří k nejreprezentativnějším vývozním artiklům našeho uměleckého prostředí. Festival se bude konat v neděli 3. června v Kněževsi u Rakovníka na Václavském náměstí v čase 14.00 - 18.00 hod. Pořadatelsky se na festivalu podílí Městys Kněževes, Václav Hlaváček a NIPOS-ARTAMA Praha. Zájem diváků o festival je obrovský, divácká obec se stále rozšiřuje. Působnost festivalu je zaměřena na Středočeský kraj, k účasti jsou zvány orchestry působící především v regionu kraje, hosty jsou ale i kapely z dalších krajů. V letošním roce to budou zástupci těchto krajů: Jihočeský, Jihomoravský, Praha a Středočeský. Jedná se tak o projekt nadregionální, který  propaguje Středočeský kraj pro celé republice. V letošním, jubilejním roce, jsme pozvali naše nejlepší dechové orchestry. V neděli 3. června v Kněževsi zahrají: Krajanka, Modrá muzika, Mistříňanka a Veselka. Během 14 ročníků se na festivalu představilo již 56 dechových kapel, ať už mládežnických, amatérských nebo i profesionálních. Moderátory festivalu jsou Karolína Hlaváčková za Radio Dechovka a Jaroslav Kopejtko z Českého rozhlasu Plzeň., Projekt mediálně podporují Rakovnický deník, Naše muzika, Revue 50plus, Rádio Dechovka, Signál Radio, Český rozhlas Region, Rádio Proglas, Český rozhlas Plzeň. , Festival se zařadil mezi největší akce svého druhu v kraji. Jsem přesvědčen o tom, že 15. ročník Kněževeské dechparády se stane významnou akcí v prezentaci České republiky, Středočeského kraje a dechové hudby před celou širokou veřejností v roce oslav 100. výročí naší republiky.  , , ","schváleno RK","189000","60000","50000","31.74603175"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033387/2018","30. ročník Festivalu dechových orchestrů a mažoretek","Festival dechových orchestrů a mažoretek v Rožmitále pod Třemšínem má již dlouholetou tradici a řadí se mezi nejvýznamnější kulturní akce města. V průběhu let se stal vyhledávanou příležitostí k setkávání hudebníků, mažoretek a přátel dechové hudby. Základní kámen k této krásné tradici položil v roce 1988 při slavnostech „Vítání léta“ tehdejší ředitel LŠU Karel Šuchman (1936 – 2008), nezapomenutelná osobnost rožmitálského hudebního školství. , Umělecké vzdělávání má již více než šedesátiletou tradici. Základní umělecká škola (dříve LŠU) je jedním z nejdůležitějších producentů kultury ve městě. Již v 18. století zdejší kantor, učitel, hudební skladatel a autor České mše vánoční Jakub Jan Ryba (1765 – 1815) vyučoval své žáky hudbě a tím je připravoval pro hudební praxi. Na něj navázala řada lidových muzikantů, kteří pro své kapely vychovávali nové hudebníky. Na tyto tradice pak navázala Hudební škola Jakuba Jana Ryby, založená 2. května 1952, jejíž pokračovatelkou je současná Základní umělecká škola Jakuba Jana Ryby, která od roku 1996 působí jako příspěvková organizace zřízená městem. Škola je se svými pěti pobočkami (Bohutín, Milín, Hvožďany, Obecnice, Jince) největší svého druhu v příbramském regionu, když zcela naplňuje svou kapacitu 800 žáků. , Na tradice několika rožmitálských dechových hudeb navazuje Dechový orchestr mladých Základní umělecké školy Jakuba Jana Ryby, založený Karlem Šuchmanem v roce 1976, který je největším hudebním tělesem školy. Za více než čtyřicetiletou historii jím prošla celá řada hudebníků, z nichž se někteří stali profesionály. Orchestr stále vystupuje při nejrůznějších akcích města i v okolních obcích, pořádá vlastní koncerty a účastní se festivalů a přehlídek. Je každoročním účastníkem rožmitálského festivalu, který byl od roku 1993 přijat pod záštitu starosty města a koná se u příležitosti svatojanské pouti (neděle po 16. květnu) na rožmitálském Náměstí. K účasti na rožmitálském festivalu přijala pozvání řada orchestrů nejen z podbrdského regionu, jádro vždy tvořili žákovské orchestry základních uměleckých škol a jako hosté zde vystupovali i profesionální tělesa. Jejich vystoupení doprovází mažoretky všech věkových kategorií.  , Díky spolupráci Města Rožmitála pod Třemšínem a Základní umělecké školy Jakuba Jana Ryby se Festival dechových orchestrů a mažoretek stal živou tradicí, kterou provází trvalý zájem posluchačů všech generací. V roce jubilejního 30. ročníku si všichni organizátoři přejí, aby měl vedle bohaté historie i stejně bohatou budoucnost.","schváleno RK","94000","80000","40000","85.10638298"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033403/2018","Staročeské Máje Ovčáry 2018","Mládež Ovčáry se každoročně snaží pokračovat v tradici a zorganizovat Staročeské Máje tak, jak probíhaly v minulosti. Poslední dobou je patrný neustálý růst cen nájmů, služeb atd., přesto bychom rádi tuto tradici nejen zachovali, ale i vylepšili a dostali na úroveň odpovídající dnešní době, tak co nejvěrněji staročeským tradicím, o jejichž zachování se chceme tímto projektem zasadit nejvíce. Celá akce začíná v předvečer postavením a ozdobením hlavní máje, kterou omladina celou noc hlídá, aby ji nikdo neporazil. Druhý den spočívá v průvodu, který tvoří místní omladina, která tančí lidové tance, chodí od domu k domu a tancují se svobodnými děvčaty. Součástí průvodu je i povoz s koňmi, který veze Krále a Kecala. Další postavy jsou Drábové, kteří tzv. zatýkají kolemjdoucí za jejich hříchy. Hříšníci jsou předvedeni před Soudce (součást průvodu) a mohou se vykoupit.  Průvod je ve veselém duchu, doprovází ho dechová hudba a končí krátkým divadelním představením, kdy je Král zbaven moci, předá jí zpět starostovi obce. Poté se lidé sejdou na tradiční lidové veselici, která trvá do ranních hodin. Během celého dne bude probíhat výstava historie Májů v Ovčárech, doprovázena staročeskými trhy.","schváleno RK","100000","80000","80000","80"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033399/2018","Základní umělecká škola Zruč nad Sázavou","     7. ročník bienále Mezinárodní kytarové soutěže Zruč nad Sázavou 2018 je určen pro žáky a studenty ZUŠ, hudebních gymnázií a nově i konzervatoří. Je rozdělen do pěti kategorií , v rozmezí osmi až devatenácti let věku. Soutěž přispívá k obohacování výchovně-vzdělávacího procesu v základním a středním školství. Je založena na systematické práci s nadanými žáky a napomáhá rozvíjet jejich talent. Umožňuje také pedagogům si rozšiřovat obzor a zpětně využívat poznatky získané z poslechu jiných žáků, konaných koncertů, výstav či přednášek. Projekt propaguje tvorbu českých skladatelů jak povinným repertoárem, tak i skladbami interpretovanými na koncertech., Základním cílem projektu je zachovat mezi mladými kytaristy vztah ke klasické kytarové hudbě a porovnat úroveň kytarové hry v České republice a ostatních státech. V průběhu soutěže mohou účastníci navázat přátelské vztahy, předávat si zkušenosti a informovat se o konkrétních hudebních materiálech, jednotliví pedagogové mohou konzultovat s kolegy a členy mezinárodní poroty. Přínosem této soutěže by mělo být zkvalitnění kytarové hudby mezi mladými lidmi, hodnotné využití volného času, láska k hudbě, vnímavost k lidem, hodnocení své práce i práce ostatních, utváření osobnosti mladého člověka.  Tento projekt propaguje českou kytarovou hudbu 20. a 21. století (Miloslav Matoušek, Milan Zelenka, Milan Tesař, Štěpán Rak atd.). Je to jediná soutěž tohoto druhu v České republice pro mladé kytaristy do 19 let z evropských zemí, kteří splní předepsaný repertoár a jejichž vystoupení bude hodnotit mezinárodní porota. V roce 2018 proběhne již 7. ročník soutěže, předpokládaný počet soutěžících je cca 85. Projekt je určen žákům a pedagogům ZUŠ v ČR a zahraničních hudebních škol a široké veřejnosti., V rámci soutěže vystoupí na večerních koncertech čeští koncertní kytaristé.  V době konání soutěže bude zajištěna prodejní výstava notových materiálů, kytar a kytarových příslušenství. , Na zajištění přípravy a průběhu soutěže se podílí zaměstnanci, žáci ZUŠ Zruč nad Sázavou a jejich zákonní zástupci. Realizace projektu probíhá již od března 2017 (oslovení členů poroty a koncertních umělců, výběr povinných skladeb české hudby, komunikace s hudebními školami v zahraničí, příprava informační brožury) a bude ukončena v srpnu 2018., Realizační tým soutěže propaguje projekt na www. stránkách školy, faceboku, v regionálním tisku, odborném tisku, prostřednictvím Asociace základních uměleckých škol ČR a European Music School Union.     , ","schváleno RK","430000","60000","60000","13.95348837"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033400/2018","Oslavy 120. výročí založení SDH Rpety","Celodenní oslavy 120. výročí založení SDH Rpety, pozvání okolních sborů, rodáků obce, hudební produkce, ukázky zásahů SDH, ukázky techniky, výstava z historie SDH","schváleno RK","130000","50000","50000","38.46153846"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033402/2018","Americké jaro 2018","V rámci programu festivalu Americké jaro 2018, který připravujeme i v letošním roce také ve Středočeském kraji, se zaměřujeme na připomenutí 100. výročí založení Československa a souvisejícího 100. výročí česko - amerických vztahů. Dne 18.4. nabídneme scénické čtení z dopisů výjimečných žen Charlotty a Alice Masarykových v Kulturním středisku na Dobříši. V režii Zuzany Burianové  účinkují vynikající herečky Daniela Kolářová a Marie Málková, dramaturgyní pořadu je Lucie Němečková.  27. 4. se uskuteční koncert mladé americké operní pěvkyně Kelley Hollis na Zámku v Nelahozevsi., Pořadatelem 13. ročníku festivalu Americké jaro je od roku 2016 Ústav pro česko-americké vztahy, z.ú. Ve spolupráci s místními kulturními středisky, s kluby přátel hudby a dalšími partnery představujeme českému publiku zejména začínající americké a české umělce. Kromě koncertů klasické a jazzové hudby doplňují festival přednášky a diskuze, literární pořady, mistrovské kurzy, promítání filmů či výstavy. Americké jaro je unikátní tím, že se koná po celé republice;  dosud jsme uspořádali akce na více než 50 místech a téměř ve všech jejích krajích. S pořadateli ve Středočeském kraji se těšíme vynikající spolupráci mnoho let, zvláště pak  s Klubem přátel hudby v Nelahozevsi, s organizacemi v Dobříši, Zlonicích, Slaném, Mníškem pod Brdy a několika malými obcemi na Poděbradsku.","schváleno RK","100000","50000","50000","50"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/033404/2018","Svátek dětí a poníků","U příležitosti Mezinárodního dne dětí se v Hořovicích uskuteční akce pro děti, která pomocí hry umožní seznámení široké veřejnosti s jezdectvím na ponících, které je ideálním spojením sportu a kontaktu s přírodou. Hlavním mediátorem bude disciplína pony-games, kterou podporuje i Česká jezdecká federace. Díky ní se děti učí hravou formou potřebným jezdeckým dovednostem, zároveň se učí spolupráci v týmu a zodpovědnosti za vlastní jednání. Během svátku dětí a poníků se do hry budou moci zapojit všechny děti včetně těch, co ještě na ponících nejezdí (pro ně bude připravena soutěž Pony-games bez pony). Akce se uskuteční na pronajatém kolbišti v jezdeckém areálu v Hořovicích.","schváleno RK","100000","50000","10000","50"
