"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","","Podíl celkové požadované dotace k celkovým nákladům"
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2018","FHT/PHT/033416/2018","Podpora sportovního, volnočasového a vzdělávacího života v obci Trubín","V rámci uvažovaného projektu bude zrekonstruován prostor místní autobusové čekárny na prostor vzdělávací a volnočasový. Dále bude pořízena „stavební obytná buňka“, která bude sloužit jako šatna a sklad sportovního materiálu u multifunkčního hřiště., V obci chybí veřejná knihovna. Obyvatelé obce nemají možnost si knihy zapůjčit a trávit tak svůj volný čas četbou. Na vybudování knihovny obec Trubín nemá dostatečné finanční prostředky. Realizace prostoru čekárny s knihovnou by občanům přinesla prostor k trávení času a zároveň jim zpříjemnila dobu, kterou tráví čekáním na autobus. , Jedná se o zřízení tzv. „sousedské knihovny“ kdy bude v rámci provedení rekonstrukce stávající autobusové čekárny, vybudován prostor, kde si lidé mají možnost půjčovat a vyměňovat knihy s jednoduchým pravidlem: „Vezmi si knížku a zase ji vrať nebo přines nějakou jinou.“ Dle zkušeností z vesnice v blízkém okolí, je tato forma vzdělání a trávení volného času oblíbená., Další částí projektu bude pořízení a instalace „obytné stavební buňky“, která bude sloužit jako šatna a sklad sportovního materiálu u nově vybudovaného multifunkčního hřiště v obci Trubín.  Bohužel obec nemá finanční prostředky na zajištění zázemí pro sportovce z řad obyvatel obce a místních sportovních spolků. Ti tak nemají možnost se na sportování převléci ve vyhovujících podmínkách. Dále u hřiště není prostor k uložení sportovního materiálu. Pořízením stavební obytné buňky by se tyto problémy vyřešily a zlepšily by se značně podmínky pro sportování., ","neschváleno RK","196500","186675","","95"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/033641/2018","FESTIVAL JAKUBA JANA RYBY","Město Rožmitál pod Třemšínem je rodištěm nebo působištěm mnoha významných osobností – od Václava Hájka z Libočan, přes slavný rod Lvů z Rožmitála, Jakuba Jana Rybu, spisovatele Rudolfa Richarda Hofmeistera, K. J. Beneše a jeho ženu, slavnou houslovou virtuosku Ervínu Brokešovou – Benešovou až po houslového mistra Václava Hudečka., Slavné historii jsou zasvěceny tradiční kulturně-společenské, dnes již tradiční akce – Den s českou královnou Johankou (letos 16. ročník) a Festival dechových orchestrů základních uměleckých škol (30. ročník)., Festival je takovým krásným odkazem na působení Jakuba Jana Ryby – kantora a hudebního skladatele, mj. autora České mše vánoční., Protože hudební dílo Jakuba Jana Ryby je rozsáhlé a obdivuhodné a Česká mše vánoční (podobně jako Dvořákova Novosvětská, Vejvodova Škoda lásky aj.) je hrána v celém světě, cítíme povinnost mnohem více se věnovat jeho úžasné hudební tvorbě., V tomto roce se uskuteční zahajovací ročník (věříme, že tradičního) Festivalu Jakuba Jana Ryby. Festival bude časově delší, několikaměsíční. Kromě dubnového zahajovacího a květnového komorního koncertu proběhne v měsíci květnu odborná konference a v červenci budou několikadenní workshopy  pro mladé umělce v oblasti skladby, interpretace  hry na flétnu, varhany, sborového zpěvu, sborového zpěvu chrámových sborů dětí a tvůrčí dílny pro mladé umělce v oblasti hudební publicistiky. Velmi zajímavá bude soutěž pro mladé umělce s konkrétním zadáním – např. zhudebnění textů nebo překladů J. J. Ryby, příp. dopsání sólového partu v koncertu pro cembalo a orchestr., Festival bude mít charakter akce nadregionálního významu (rodiště J. J. Ryby – Přeštice, jeho působiště – Mníšek, Nepomuk u Plzně). Po plánovaném zapojení Prahy a Plzně (jejímž je J. J. Ryba čestným občanem) to bude kulturně-společenský podnik celorepublikového významu. , Podrobný předhled programu festivalu je uveden v příloze.","neschváleno RK","280000","80000","","28.57142857"
"Činnosti nebo aktivity v oblasti životního prostředí ","2018","FHT/PHT/034037/2018","Člun pro rybářskou Stráž"," Pořízení Lodě včetně příslušenství motoru a vleku pro potřeby spolku k hospodářské činnosti, k výkonu ostrahy rybářskou stráží řeky Labe vysazování ryb, údržbě revírů a úklidu, dále k součinnosti se složkami IZS, a Městské Policie Čelákovice. Dále při likvidaci ekologických havarii na řece Labe. ","neschváleno RK","150000","100000","","66.66666667"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/034078/2018","17. ročník mezinárodního tenisového turnaje juniorů do 16 let REALSPORT OPEN 16","Rád bych v rámci programu Středočeského kraje Fond hejtmana požádal o finanční příspěvek na mezinárodní turnaj mládeže, který se bude konat v týdnu od 3. března 2018 do 11. března 2018 ve Sport centrum Milten v Milovicích. Turnaje se zúčastní 56 chlapců a 56 dívek z 12 až 15 evropských zemí ve věkové kategorii do 16 let. Turnaj je součástí okruhu Tennis Europe Junior Tour a je započítáván do evropského žebříčku šestnáctiletých. Je ideální příležitostí pro české hráče a hráčky vylepšit si svoje postavení na evropském žebříčku před začátkem antukové sezóny., V letošním roce proběhne již 17. ročník tohoto turnaje. Turnaj si každým rokem získává na popularitě. Tato akce je výjimečná svou účastí, kdy Milovice navštíví rodiče i s mladými tenisty z několika evropských zemí. Tohoto turnaje se zúčastňují nejlepší hráči a hráčky v této kategorii.  , SKM Zruč nad Sázavou – Tenisline je sportovní klub, který se zaměřuje na sportovní tréninky mládeže a organizování sportovních akcí. Spolek vznik až v roce 2016, ale jeho členové organizují již 17. ročník tohoto turnaje, což svědčí o dlouhodobé činnosti s mládeží. SKM Zruč nad Sázavou – Tenisline pořádá zejména tenisové soutěže, ale také atletické závody a turnaje ve hře mölkky pro všechny věkové kategorie od dětí po seniory. , V rámci žádosti bych rád požádal o finanční příspěvek na potřebnou organizaci akce. Předmětem žádosti jsou náklady spojené s pořádáním akce. Mezi hlavní položky patří pronájem haly a stravování hráčů (obědy, večeře). Další položkou jsou medaile a poháry pro vítěze turnaje. Posledními položkami rozpočtu je nákup tenisových míčků a zajištění zdravotnické služby., Cílem projektu je rozšíření spolupráce sportovních klubů a vytváření partnerství mezi těmito kluby, vedoucí ke zvyšování sportovní výkonnosti dětí a mládeže. Smyslem turnaje je poměření sil mladých tenistů z jednotlivých klubů a ověření si, co se zatím naučili. Je to příležitost si porovnat síly se zahraničními tenisty. Na turnaji budou vidět mladí talentovaní tenisti, kteří jak věříme, přitáhnou širokou tenisovou veřejnost a bude atraktivní pro „hledače talentů“. Turnaj je pro talentovanou mládež skvělá možnost se předvést a ukázat, co v nich je. , ","neschváleno RK","75300","50000","","66.40106242"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/034106/2018","Prague Handball Cup 2018","TJ  se zúčastní mezinárodního turnaje v Praze se třemi kategoriemi. Minižáci, mladší žáci a starší žáci. Na trunaji děti získají spousty neocenitelných zkušeností jak na hřišti, tak mimo něj. Jelikož se jedná o turnaj mezinárodní, budou mít mimo jiné příležitost ke zdokonalování v používání cizích jazyků","neschváleno RK","84400","60000","","71.09004739"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/034247/2018","Tvořivé dílny","Tvořivé dílny - pletení košíků a ošatek z pedigu, enkaustika, výroba dekorací a doplńků. Spolek zorganizuje tvořivé dílny pro děti, mládež i dospělé. Lektorky povedou kurz a praktické tvoření enkaustiky, pletení z pedigu a výrobu dekorací. Spolek Pro budoucnost Žerčic nakoupí materiál pro výrobu, a náklady spojené s tvořivými dílny, jako např. pronájem místnosti a úklid, úhradu za činnost lektorek, základní občerstvení (káva, čaj, voda) Tvořivé dílny budou pro děti mládež i dospělé. Důvodem realizace projektu je soudržnost občanů v obci, plnohodnotné využití volného času dětí a mládeže. Tvořivé dílny jsou přínosné a vhodné i pro seniory, které jsou napů osamělí a nemjí s kým trávit dny. Projekt je pro všechny sociální i věkové skupiny. Před třemi lety se tvořivé dílny konaly a projekt zaznamenal velký ohlas. Z finančních důvodů se nadále nemohl konat a tvořivé dílny se vícekrát neuskutečnily. Zájem o rukodělné činnosti je velký. , Soudržnost a setkávání se občanů je v posledních letech vzácností. Spolku není lhostejné, že mnoho opuštěných seniorů nemá s kým volný čas trávit, proto je velkou snahou projekt realizovat.","neschváleno RK","30000","27000","","90"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/034354/2018","Výroční sportovní ples AFK Hořín","Sportovní klub AFK Hořín touto cestou žádá o finanční podporu u příležitosti konání výročního sportovního plesu v obci Hořín, neboť v tomto roce slaví 90 výročí svého založení a poskytování sportovního vyžití, nadšení a radosti. Sportovní ples je jednou z hlavních kulturních akcí konanou v obci Hořín, je pořádán kontinuálně každý rok za posledních 11 let. Všichni členové klubu a fanoušci sportu a fotbalu zvlášť se podílejí na přípravách plesu, který se odehrává v prostorách sálu, který je v majetku obce Hořín. V rámci tohoto projektu žádáme o finanční podporu spočívající v uhrazení nákladů na hudební produkci, materiálně technické zajištění plesu a pronájmu sálu. Do posud  je tato kulturní akce financována z vlastních zdrojů žadatele, drobných finančních darů a domácností členů fotbalového klubu.","neschváleno RK","10000","9500","","95"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035350/2018","Vybavení zázemí pro práci včelařských kroužků mládeže","Od září 2016 pracuje v Novém Strašecí včelařský kroužek mládeže, jehož zřizovatelem je ZO ČSV z.s. v Novém Strašecí. V září 2017 se do kroužku přihlásily další děti, takže vznikly již kroužky dva, každý kroužek má nyní sedm členů (maximálně možný počet). Oba včelařské kroužky mládeže jsou současně členy ČSV a jsou tímto svazem metodicky řízeny. Kroužky se dále řídí svým ročním plánem práce, který je zaměřen především na včelaření, dále na poznávání přírody Novostrašecka a její ochranu. Do kroužku dochází děti v rozmezí 3. až 9. třídy ze ZŠ v Novém Strašecí. Oba kroužky obhospodařují již dvoje včelstva a letos na jaře si pořizují třetí včelstvo. Za úspěch po 1,5 roce práce kroužků považujeme, že dvě děti z kroužků si letos na jaře již pořizují  vlastní včelstva.   , Město Nové Strašecí pro účely kroužku pronajalo na jaře 2017 včelařskému spolku nemovitost o dvou místnostech, které si děti s rodiči a s dalšími členy včelařského spolku upravilo přes prázdniny na klubovnu a dílnu. Činnost v těchto prostorách byla zahájena  1.9.2017. V těsné blízkosti domku jsou staré, rozpadlé hospodářské místnosti, které se v současné době přestavují za pomoci Města Nové Strašecí. V nových prostorách plánujeme zázemí pro včelařskou činnost obou kroužků. Jednu místnost hodláme  využívat jako místo pro zpracování medu a  druhou místnost využívat jako místo pro zpracování vosku. Obě tyto místnosti budou sloužit jednak jako zázemí pro oba včelařské kroužky, ale také budou sloužit novým, převážně mladým začínajícím včelařům, kterým se vzhledem k nízkému počátečnímu počtu včelstev nevyplatí kupovat např. medomet nebo vařák na vosk.  , Žádáme Vás tímto o finanční podporu na vybavení zázemí pro práci obou včelařských kroužků mládeže. Finanční rozpočet je uveden v příloze žádosti., ","neschváleno RK","85000","80000","","94.11764706"
"Činnosti nebo aktivity v oblasti sociální","2018","FHT/PHT/034640/2018","Senioři z Poděbrad navštíví rodiště T.G.Masaryka a M.R.Štefánika","Senioři organizovaní ve Svazu postižených civilizačními chorobami společně provozují aktivity, které jim pomáhají prožít aktivní stáří. Díky společnému cvičení těla i mozku jsou naši senioři v dobré kondici. Pravidelně společně cestují po republice. Chtěli by společně  cestovat na jeden pětidenní výjezd na Moravu a na Slovensko po stopách zakladatelů republiky. Do Moravan po stopách TGM a do Košarinské, do rodiště M.R.Štefánika. Pamětníci První republiky by s ostatními sdíleli své   vzpomínky. Po návratu z pobytu připraví účastníci osvětovou prezentaci z akce pro ostatní členy našeho spolku. ","neschváleno RK","130000","70000","","53.84615385"
"Rekonstrukce majetku v souvislosti se sociální, kulturní, sportovní a vzdělávací činností","2018","FHT/PHT/035420/2018","Přípojka el. energie do kabin na fotbalovém hřišti","Fotbal v Třebotově žije od roku 1927, kdy soukromá osoba darovala obci pozemek na budoucí fotbalové hřiště. SK Třebotov je nástupnická organizace TJ Sokol Třebotov a od 8.12.1992 pod novým názvem Sportovní klub Třebotov. Na základě usnesení valné hromady ze dne 3.10.2015 užívá název SK Třebotov, z.s. Kabiny č. parcely 277 byly pořízeny v roce 1967 z dobrovolné práce občanů, kteří je pak nadále udržovali a zhodnocovali ve spolupráci s tehdejším MNV Třebotov a od roku 1974 jsou v majetku SK. Patří k nejstarším na okrese. SK vlastní též sokolovnu s přilehlým pozemkem od 6.12.1927, LV 349. Z tohoto objektu je v zemi veden kabel el. energie až ke kabinám, původně jen pod zatravněnou plochou volně přístupnou občanům. Teprve v letech 1990-1998, kdy byl navrácen majetek původním vlastníkům, byla plocha na parcele č. 346 zastavěna rodinným domem. Tím je již nežádoucí, aby současní majitelé nadále tolerovali vedení el. kabelů přes jejich pozemek. Jelikož kabiny už potřebují rekonstrukci, bylo třeba právě začít výstavbou nové přípojky, neboť stávající neutáhne příkony spotřeby el. energie. SK písemně dne 4.5.2017 informovala obecní zastupitelstvo Třebotov o budoucí materiálové existenci a záměrech fotbalového klubu. SK má do roku 2113 s OÚ Třebotov uzavřenou nájemní smlouvu na užívání sportovní plochy - hřiště. Po projednání s obcí Třebotov a ČEZ vznikl rozpočtový návrh firmy Elektromontáže, s.r.o, Lety, okres Praha-západ. SK neprováděla výběr z více dodavatelů této akce, neboť s touto firmou ČEZ úzce spolupracuje. Tato firma plně provádí požadované podmínky výstavby el. přípojky včetně revizí. Realizace stavby je od 10/2017 potvrzena ČEZ pod číslem 4121314203-Třebotov p.č. 383/1 - přípojka NN. Předložený rozpočet akce se zvýší cca o 20 000,- Kč za zhotovení projektové dokumentace. Tato investice je nutná, neboť dává záruku dlouhodobé možnosti pokračovat ve fotbalové činnosti při stále zvyšujících se nárocích nejen na samotnou přípravu fotbalistů, ale i na důstojné zajištění zázemí odpovídající současným požadavkům a trendům. SK po 12 letech (v roce 2015) obnovila činnost mládežnického fotbalu v Třebotově. Pod vedením dvou trenérů s licencí se 25 členů mládeže do 23 let pravidelně účastní soutěží a tréninků, proto je i pro ně potřeba zajistit dobré a vyhovující zázemí. Úspěchem je vznik a činnost mládežnických oddílů v kategoriích starší přípravka, mladší přípravka a mladší žáci. Tyto týmy společně s mládeží Sokola Choteč pod hlavičkou ´´sdruženého mužstva hráčů Choteč-Třebotov´´ se účastní mistrovských utkání v okresních soutěžích. Oddíl kopané dospělých hraje 3. třídu okresu Praha-západ. Jejich největším úspěchem je umístění v semifinále Českého poháru Prahy-západ, kde je šance na jaře 2018 umístění vylepšit. Mládež ročníků 2007-2008 se chystá zúčastnit mezinárodního turnaje v Itálii. Mládežnická družstva využívají přenosných branek, míčů a ostatního tréninkového nářadí, pořízeného z části i z dotací Středočeského kraje, k tréninkům nejen na hřišti, ale i v tělocvičně Základní školy v Třebotově. I když SK využívá k financování vlastní zdroje z nájmu bývalé sokolovny, z nájmu části pozemku sokolovny, z příležitostného pronájmu hřiště a placené reklamy, neobejde se bez finanční výpomoci formou dotací, aby fotbalová činnost mohla být zachována a rozvíjena i v dalších letech.","neschváleno RK","160000","140000","","87.5"
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2018","FHT/PHT/035070/2018","Sociální automobil ","Realizace nákupu ""sociální automobil"" Dacia Dokker pro Domov Na Výsluní Hořovice, Pražská 932, PSČ 268 01, Hořovice. Organizace bude používat automobil ke své činnosti v oblasti péče o seniory, ošetřovatelství a rehabilitace. ","neschváleno RK","500000","60000","","12"
"Činnosti nebo aktivity v oblasti sociální","2018","FHT/PHT/035304/2018","Doplacení mezd asistentkám Komunitního centra SPCCH Příbram","Svaz postižených civilizačními chorobami v České republice, z.s. (dále SPCCH) působí celostátně, registruje cca 35.000 členů ve 247 organizacích ve 14 krajích ČR. SPCCH působí v Příbrami již 26 let. Nejen pro členy SPCCH, ale i další občany Příbrami a okolí s dlouhodobým civilizačním onemocněním a seniory, zřídilo SPCCH Komunitní centrum v Příbrami., Služby komunitního centra jsou poskytovány pro 50 klientů týdně. Komunitní centrum nabízí lidem s dlouhodobým civilizačním onemocněním a seniorům skupinové aktivity (trénování paměti, rukodělnou činnost, besedy o hradech a zámcích, výlety atd.), společenská odpoledne, individuální pomoc klientům v různých formách - dopomoc v domácnosti, zajištění nákupu, doprovod na úřady, k lékaři, individuální aktivizace, poskytnutí rady a rozhovor s klientem)., Tento projekt zahrnuje pouze doplacení mezd asistentek komunitního centra SPCCH v Příbrami. Mzdy asistentek jsou dlouhodobě hrazeny úřadem práce Příbram. Vzhledem k navýšení minimální mzdy asistentek od 1.1.2018  nepokryje příspěvek úřadu práce celou mzdu asistentek a od 1.4.2018 do 31.5.2018 vznikne organizaci náklad 8 088 Kč nepokrytý příspěvkem úřadu práce ani jinou dotací.   ","neschváleno RK","8088","7680","","94.95548961"
