"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","Proplacená dotace (Kč)","Podíl celkové požadované dotace k celkovým nákladům","","",""
"Kulturní aktivity","2016","FHT/PHT/026418/2016","Poznejte náš venkov 2016","V rámci projektu dojde k uspořádání celodenní akce Poznejte náš venkov v areálu farmy v Pojedech (okr. Nymburk). Tento rok by se jednalo o pátý ročník. Akce je zaměřená na propagaci regionu Svatojiřský les - prezentují se zde místní výrobci, řemeslníci, aktéři v cestovním ruchu a obce v regionu. Součástí programu celé akce je vystoupení různých hudebních skupin a speciální aktivity pro děti. Organizace akce bude, zajištěna zaměstnanci MAS.","schváleno RK","150000","120000","","80","","",""
"Sportovní aktivity","2016","FHT/PHT/026486/2016","cyklistické závody","Již 29 let pořádáme v naší malé obci cyklistické závody pro děti a dospělé. I v letošním roce to bude nejdříve 28.5. časovka jednotlivců z Bělče na Lány a zpět. V neděli pak silniční závod na okruhu Běleč-Bratronice-Nižbor-Luby-Běleč XXVIV r. ""BĚLEČSKÉ OKRUHY"". Na těchto závodech startují závodníci nejen z celé ČR ale i ze zahraničí ( dokonce zde už startovali závodníci z USA ). Za 29 let se počet startujících přes 100 000. Startující závodí ve věkových kategoriích po 10 letech od 18 let až do 70+ let. Vzhledem k tomu že v dnešní době je velký silniční provoz, je nutné pro zajištění bezpečnosti velkého počtu startujících velký počet pořadatelů, doprovodných vozidel, lékařská služba + sanita, občerstvení závodníků na trati, elektronické ( čipové ) měření času, ceny pro závodníky a hlavně dopravní úprava trati. To všechno jsou velké finanční náklady a vzhledem k tomu, že jsme malá obec a chceme udržet nejen tradici závodu, ale i lidi u sportu, žádáme tímto o pomoc.      ","schváleno RK","178000","169100","","95","","",""
"Kulturní aktivity","2016","FHT/PHT/026517/2016","Česká mše vánoční J.J.Ryby v Mladé Boleslavi a okolí","Tradiční koncert tří Českých mší vánočních Jakuba Jana Ryby v kulturních prostorách Mladé Boleslavi, Mnichova Hradiště a Krnska bude v tomto roce rozšířen pro velký zájem diváků o další místo, jímž je kostel v obci Kněžmost. Tak jako v loňském roce, tak i letošní nastudování bude probíhat za větší účasti umělců, a to jak orchestrálních hráčů, tak i sborových zpěváků, protože možnosti sálů nabízejí kvalitní provedení koncertů právě při větší účasti účinkujících. Divákům, tak poskytneme hluboký kulturní zážitek. Koncerty proběhnou v období od 1.12.2016 do 22.12.2016","schváleno RK","160000","70000","","43.75","","",""
"Sportovní aktivity","2016","FHT/PHT/026536/2016","Oldtimer Bohemia Rally 2016","Celkové uspořádání soutěže mistroství světa veteránů FIVA.Oldtimer Bohemia Rally 2016, připravují doprovodné kulturní a společenské akce, které se uskuteční v pátečním a sobotním, večeru. Veřejnosti přístupná přehlídka zúčastněných historických vozidel proběhne na, Staroměstském náměstí v Mladé Boleslavi. Prezentování akce bude zajištěno vydáním tištěného, bulletinu, aktuálním zpravodajstvím na vlastní webové stránce, informacemi a reportážemi v, regionálních i celostátních médiích, včetně televizí., Oldtimer Bohemia Rally 2016 podporuje povědomí tuzemské i zahraniční veřejnosti o tom, že, Mladá Boleslav je městem automobilů a více než sto let sídlem úspěšné automobilky.","schváleno RK","800000","200000","","25","","",""
"Podpora činnosti","2016","FHT/PHT/026545/2016","Rozvíjení duševních a fyzických schopností ve stáří","K 31.12.2015 měla naše základní organizace 325 členů nejen z Nymburka, ale i z okolních obcí. Přínosem projektu je zpestření života seniorů pořádanými akcemi a různými aktivitami v r. 2016., Pořádáním kurzu na počítače chceme docílit, aby i starší generace uměla využívat dnešní moderní techniku a tím si rozšiřovat okruh svých vědomostí., Dále chceme pořádat oblíbený kurz paměti, kdy trénink paměti prospívá našemu zdraví. Pobytem v solné jeskyni a plaváním regenerujeme náš organizmus a udržujeme jej v dobré zdravotní kondici., Pro zpestření všedních dnů chceme zajistit členům návštěvy na různé kulturní akce. Pořádanými výlety po historických památkách  si připomeneme dávnou historii naší země např. letošní 700. výročí narození Karla IV., Zamýšlenými akcemi bychom chtěli rozvíjet duševní i fyzické schopnosti našich členů., , Připravované akce:, a) kurz na počítače, b) kurz paměti, c) regenerace organizmu (např. solná jeskyně, plavání), d) návštěvy kulturních akcí, e) výlety po historických památkách ","schváleno RK","133000","106400","","80","","",""
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2016","FHT/PHT/026546/2016","Senior Transport","Nákup vozu vybaveného plošinou na převoz hendikepovaných osob. , Cíl projektu: Zajištění dopravy zdravotně hendikepovaných osob a seniorů v územní působnosti MAS Dolnobřežansko. Zajištění jejich osobních potřeb pomocí speciálně upraveného vozidla pro převoz osob zdravotně a pohybově znevýhodněných. ","schváleno RK","170000","85000","","50","","",""
"Kulturní aktivity","2016","FHT/PHT/026547/2016","Dobříšské májové slavnosti 2016","Dobříšské májové slavnosti jsou největší dobříšskou společensko-kulturní akcí roku. Konají se předposlední květnovou sobotu na dobříšském náměstí a na dalších místech ve městě.  Jsou významnou příležitostí k setkávání občanů města, jejich rodin, přátel a hostů. Dávají velký prostor pro prezentaci městských organizací - škol, oddílů, spolků i neziskových organizací, a tím přispívají zásadní měrou k pocitu sounáležitosti občanů s městem a regionem. Pravidelně se slavností účastní několik tisíc návštěvníků – místních, i z širokého okolí – a každý rok se jejich počet zvyšuje., Letošní oslavy připadnou na 21. května, kdy proběhne již 15. ročník., Hlavním pořadatelem akce je město Dobříš. Na organizaci slavností se ale podílejí i další městské organizace (Kulturní středisko Dobříš,  Dokas Dobříš, Městská policie Dobříš, Sbor dobrovolných hasičů Dobříš a další), které zajišťují plynulý chod jednotlivých akcí, technickou podporu, bezpečnost provozu v dotčených lokalitách, úklid po skončení programu apod., nebo se přímo účastní doprovodných aktivit., Program májových slavností odstartuje v 9.00 hodin na hlavním pódiu na Mírovém náměstí. Svou činnost a schopnosti zde předvede široká škála místních účinkujících – žáci dobříšských škol (MŠ, ZŠ, ZUŠ), sportovní oddíly (Sokol, Orel, Gymnastika Dobříš, MFK), spolky (RC Dobříšek, divadelní spolek Disk, okrašlovací spolek, skautky a táborníci) i místním hudební skupiny (Dechovka ZUŠ, Swing Band Dobříš, Wocaties band a další). Program vyvrcholí vystoupením profesionálních hudebních skupin a interpretů, herců a artistů (letos to bude Václav Neckář s kapelou Bacily, hudební skupina Portless a celodenní divadelně artistický program Divadla Studna z Českých Budějovic). , Kromě hlavního pódia se program odehraje na mnoha dalších místech ve městě: Husův park (sportovní a dovednostní soutěže), dětské hřiště u kina (prezentace RC Dobříšek, MP, Pesoklub), Kulturní dům (loutkové představení pro děti, turnaj v deskových hrách, výstava dobříšských výtvarníků), Muzeum Dobříš (prohlídky expozice rukavičkářství a historie města Dobříše), kostel Nejsvětější Trojice (varhanní koncert duchovní hudby), fotbalové hřiště (zápasy MFK Dobříš), parkoviště za sokolovnou (D FIGHT, o.s., Chill Out Zone - program pro mládež) a další. , Dobříšských májových slavností se dle časových možností zúčastní i hosté z partnerských měst Tonnerre (Francie), Mierlo (Nizozemsko). Podle svých možností a zájmu se zapojují do připraveného programu, pravidelně nabízí např. i ochutnávky svých regionálních produktů (sýry, paštiky, víno). , Nedílnou součástí májových slavností jsou doprovodné akce, které se konají v dny předcházející či následující. Především je to týdenní Festival ochotnických divadel v kulturním domě a tradiční Hasičská soutěž „O pohár starosty města Dobříše“. Hostům slavností jsou k dispozici také pouťové atrakce a stánky s občerstvením., Celá akce bude předem propagována v místních a regionálních médiích – tisku (Dobříšské listy, Příbramský deník), rozhlasu (Rádio Blaník) a na webových stránkách (www.mestodobris.cz, www.dobrisskoaktualne.cz, www.kddobris.cz).  Průběžně budou zveřejňovány informace o konání slavností také na facebookových stránkách pořadatele. Město Dobříš zajišťuje propagaci také prostřednictvím plakátů a tištěných programů (skládačky a bannery). V případě získání dotace z Fondu hejtmana bude na spolufinancování ze Středočeského kraje upozorňováno ve všech mediálních zprávách, které budou publikovány, včetně uvedení povinných log poskytovatele dotace., ","schváleno RK","431000","200000","","46.4037123","","",""
"Podpora činnosti","2016","FHT/PHT/026564/2016","Karneval","Karneval pro děti ze speciální základní školy (Březinská 1702 Vlašim + odloučení pracoviště Odlochovice, cca 50 dětí, celodenní akce, -	               Karnevaly Městský dům dětí a mládeže pořádá tradičně každý rok. Probíhají na obou základních školách a zúčastní se jich nejméně 1000 dětí. Dále probíhá karneval i na Základní speciální škole v Březinské ulici  1702 ve Vlašimi, k níž patří ještě děti z odloučeného pracoviště Odlochovice 1. V hlavní budově ve Vlašimi je 15 učeben různých velikostí., -	             Karnevalu v tomto zařízení věnujeme vždy zvýšenou pozornost, předchází především velká příprava předem, kdy dětem kupujeme masky a jiné jim pomáháme vyrábět, aby vlastní akce probíhala plynule. Ke každému k cca 50 dětí musí být individuální přístup, proto i zabezpečení této akce je náročné na počet pomocníků., -	           Po celou dobu karnevalu hraje hudba, děti tančí, vyhlaší se  nejlepší masky, ale probíhá i spousta jiných soutěží o ceny. Na závěr karnevalu pak děti vypouští celé hrozny balonků, kde mají připsaná svá přáníčka a čekají na odpovědi, zda je někdo najde. Toto pouštění balonků se všem moc líbí a těší se na ně., , ","schváleno RK","30000","27000","","90","","",""
"Kulturní aktivity","2016","FHT/PHT/026565/2016","Velikonoce - výroba a zdobení perníčků a velikonočních kraslic a velikonoční zvyky ","Akce je pro děti základních škol Vorlina a Sídliště ve Vlašimi, přibližně pro 1000 dětí, ,        Jedná se jednu z nejnáročnějších akcí, kterou Městský dům dětí a mládeže ve Vlašimi pořádá.,        Probíhá na Základních škole Vorlina a Základní škole Vorlina. Náročnost na přípravu je opravdu veliká, neboť pro takový počet dětí připravit medové perníky, které instruktorky předem připraví. Musí se připravit těsto, vykrájet různé velikonoční tvary a upéct. Každý z dětí má k dispozici 2 – 3 medové perníčky, které pak pro vlastní akci zdobí. ,          Stejně tak příprava na malování kraslic je náročná na práce předem. Příprava barevných vosků musí probíhat předem, aby pak šlo zdobení plynule. Předem se musí připravit i stojánky pro nahřívání vosku. Předem se musí nachystat i různé jiné pomůcky na jiné zdobení kraslic, než je vosk.,          Na výuku dochází vždy jedna třída za druhou a rozdělí se na dvě skupiny, kdy jedna zdobí medové perníčky a druhá pak kraslice.,          Na závěr se uskuteční vyhodnocení nejzdařilejších výrobků a děti jsou odměněny cenami.,          Třídní učitelky pak ve svých třídách uspořádají výstavku z výrobků dětí a věnují vhodný čas na přiblížení velikonočních zvyků a Velikonoc vůbec. ,          Touto akcí se snažíme v dětech uchovávat lidové tradice, rozvíjíme jejich zručnost., , , ","schváleno RK","30000","27000","","90","","",""
"Vzdělávání","2016","FHT/PHT/026567/2016","Šachové soustředění","-	Jedná se o soustředění cca 16 dětí, které hrají šachy a jsou zapojeny ve 12 zájmových útvarech Městského domu dětí a mládeže ve Vlašimi, 	Soustředění bude probíhat formou příměstského tábora, kam děti budou docházet od 8.00 do 17.00 hodin, jen ze čtvrtka na pátek budou spát v budově ve spacáku, na večer plánujeme promítání filmů a soutěže v tělocvičně, 	Soustředění bude zajišťovat 6 lidí, 	Bude provedeno 15 šachových přednášek (3 za den), 	plánujeme spoustu sportovních aktivit na zahradě, ale i na fotbalovém hřišti, na volejbalovém a tenisovém hřišti, všechny soutěže budou každá zvlášť hodnoceny a bodovány, 	budeme realizovat „Anglické okénko“, kde odborná angličtinářka bude s dětmi nacvičovat říkanky a písničky v angličtině a připraví pro ně i soutěže, 	děti budou během soustředění ve dvojicích natáčet videa, která pak za pomoci trenérů sestříhají a samy děti budou hodnotit a vybírat nejlepší, 	přípravné práce bude však probíhat už od začátku února, neboť je potřeba velice hodně různých tabulek, zpracování podkladů pro hodnocení a zpracovávat počítačové losování atd., tvorba šachových diagram apod., navíc by bylo dobré nakoupit všechny pomůcky v co nejbližší době, kdy jsou velké slevy, ,             Šachové kroužky na MěDDM pracují poctivě. Naši žáci jsou Mistry České republiky.   Můžeme se pochlubit i tím, že naši čtyři členové  získali 3.místo na MČR v žákovských družstvech škol a i v letošním školním roce se zase další generace našich školních šachistů kvalifikovala na MČR, kde budou hrát koncem června ve Zlíně. V neposlední řadě máme už z této nové generace a dívku z našich kroužků získala stříbrnou medaili na MČR dívek v kategorii D12 a kvalifikovala se na Mistrovství Evropy, které odehrála v Chorvatsku.,             Velice úspěšně se rozvíjí projekt, kdy pracujeme s dětmi z mateřské školy a tím získáváme nové členy našich 12 zájmových útvarů.,             Starší děti vozí ze soutěží spoustu medailí a vzorně reprezentují nejen na Vlašimsku, ale i na okresní, regionální a krajské úrovni. Každý rok máme spoustu dětí, které se kvalifikují na Mistrovství Čech a dále pak České republiky.,              K výuce je nutná velká spousta pomůcek, příruček a učebnic. V neposlední řadě jsme se věnovali o prázdninách organizování Šachových soustředění. Letos to bude už 5. v řadě. Zde probíhá intenzivní výuka šachu kvalifikovanými trenéry (3 přednášky za den). Vyhovuje nám forma příměstského soustředění. Současně probíhá šachový turnaj – rapid, jehož výsledky budou odesílány na ELO. Děti každý den dochází, jen jeden den budeme organizovat spaní ve Spolkovém domě. Protože děti nemohou sedět stále jen u šachů, prokládáme různými soutěžemi (anglické okénko, logické hry, sportovní hry), na které potřebujeme jednorázově pořídit pomůcky a náčiní. Toto by bylo využíváno i k jiným účelům (letní tábory, sportovní odpoledne a i na zahradě).,              Soustředění se zúčastní 16 dětí, což vyhovuje jak kapacitě používaných prostor, tak i efektivitě výuky.,               Dětí nám v šachových kroužcích stále přibývá, věhlas naší výuky je na vysoké úrovni a v našich 12 kroužcích máme evidováno 78 přihlášek v Městském domě dětí a mládeže Vlašim. Je to práce velice náročná. Všichni čtyři trenéři mají absolvováno nejen pedagogické vzdělání, ale 3 z nich mají trenérské zkoušky 3. třídy a jeden 4. třídy., ","schváleno RK","30000","26000","","86.66666667","","",""
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2016","FHT/PHT/026568/2016","Memoriál A. Greplové v Hradci Králové","-	Jedná se prestižní střelecké závody – kategorie vzduchová puška v leže 20 a 30 ran, účastnit se bude 5 dětí + 2 vedoucí, kteří pracují ve střeleckém kroužku Městského domu dětí a mládeže ve Vlašimi, 	 Protože se jedná o nově pracující kroužek, jehož děti dosahují vynikajících výsledků a začínají čím dál častěji pronikat do regionálních, krajských i celostátních soutěží, potřebujeme v rámci reprezentace pro děti  povinné vybavení  - střelecké kabáty, 	Terče, náboje,  , ","schváleno RK","30000","28000","","93.33333333","","",""
"Kulturní aktivity","2016","FHT/PHT/026630/2016","ČESKÝ PLES V BRUSELU 29.1.2016","Český ples v Bruselu 2016 je organizován Evropským hospodářským zájmovým sdružením Access EU! (ve spolupráci s Nezávislým centrem pro studium politiky), které s velkým úspěchem uspořádalo již předchozí tři ročníky. Český ples je významnou reprezentační akcí, jejíž tradice sahá až do roku 2008 a která pomáhá šířit dobré jméno České republiky v zahraničí. V rámci organizace této akce je naším záměrem oslovit významné české organizace, vedoucí české průmyslové podniky i regiony, které bychom chtěli požádat o podporu Českého plesu v Bruselu v podobě partnerství s Access EU! Vzhledem k tomu, že bychom chtěli zachovat stejně vysokou úroveň plesu jako v předchozích letech, je toto partnerství jedinou možností, jak pokrýt všechny organizační náklady. Pro partnery plesu nabízíme patřičnou vizibilitu a propagaci. Žádáme o záštitu plesu ministra zahraničních věcí České republiky, pana PhDr. Lubomíra Zaorálka. Na ples budou rovněž pozváni všichni významní hosté, kteří se zúčastnili minulých ročníků. Pozváni na ples jsou: všichni poslanci Evropského parlamentu za Českou republiku, všichni evropští komisaři, vedoucí kabinetu (členové kabinetu zváni rovněž, ale extra), generální ředitelé jednotlivých generálních ředitelství Evropské komise, ředitelé jednotlivých generálních ředitelství Evropské komise, vysocí úředníci, generální ředitelé a ředitelé z Rady EU, vysocí úředníci, generální ředitelé a ředitelé - Výbor Regionů, vysocí úředníci, generální ředitelé a ředitelé - Hospodářský a sociální výbor, stálý představitel ČR při EU, stálý představitel ČR v COREPER I, velvyslanec ČR v COPS, ředitelé regionálních kanceláří krajů v Bruselu (nejen českých), ředitelé a zástupci českých firem se sídlem v Bruselu, ředitelé a zástupci významných mezinárodních firem se sídlem v Bruselu, stálí představitelé členských států EU při EU. Celkem se jedná o obeslání cca 350 - 400 lidí v Bruselu. Zároveň jsou zváni všichni hejtmani českých krajů, členové vlády, primátoři statutárních měst, zástupci velkých českých firem.","schváleno RK","2030000","130000","","6.40394089","","",""
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2016","FHT/PHT/026671/2016","Venkovní pracovní hnízdo pro dětské návštěvníky","Vlašimská hvězdárna nabízí poznávací a volnočasové aktivity celoročně. Hlavní návštěvní sezóna na vlašimské hvězdárně probíhá od května do září. Součástí programu jsou i venkovní aktivity pro děti. V rámci projektu využijeme místo v okolí studny pro zřízení pracovního hnízda pro děti, kde mohou tvořit z hlíny a jiných materiálů, kreslit, malovat, číst, naslouchat či relaxovat). Jako pracovní plocha bude sloužit masivní dřevěný stůl osazený na tělese studny. Před přímým sluncem a povětrnostním vlivy bude chráněn dřevěným přístřeškem osmiúhelníkového půdorysu (úhlopříčka cca 5 metrů) s možností vyjímatelnosti bočních zástěn. Pro pracovní hnízdo jsme na konci roku 2015 zajistili přístupový chodník a dlažbu s betonovými patkami k uchycení konstrukce, v okolí jsme vysadili novou zeleň. Na hnízdo bude pořízen materiál, jeho postavení bude provedeno svépomocí. Hnízdo bude osazeno informační tabulkou o účelu a finanční podpoře dárce, doplněno skládacími dřevěnými židlemi. ","schváleno RK","78360","60000","","76.56967841","","",""
